Package,Count,Sort,Timestamp,Is_Current
lazypredict,5,hotness,29:41.9,0
inspect,5,hotness,29:41.9,0
xml,5,hotness,29:41.9,0
timm,5,hotness,29:41.9,0
pytorch_lightning,5,hotness,29:41.9,0
google,5,hotness,29:41.9,0
tensorflow_hub,5,hotness,29:41.9,0
eli5,4,hotness,29:41.9,0
joblib,4,hotness,29:41.9,0
graphviz,4,hotness,29:41.9,0
hyperopt,4,hotness,29:41.9,0
shap,4,hotness,29:41.9,0
tensorflow_io,4,hotness,29:41.9,0
pylab,4,hotness,29:41.9,0
pmdarima,4,hotness,29:41.9,0
squarify,4,hotness,29:41.9,0
gym,4,hotness,29:41.9,0
ast,4,hotness,29:41.9,0
gensim,4,hotness,29:41.9,0
textblob,4,hotness,29:41.9,0
sweetviz,4,hotness,29:41.9,0
open_clip,3,hotness,29:41.9,0
tensorflow_addons,3,hotness,29:41.9,0
fasteda,3,hotness,29:41.9,0
operator,3,hotness,29:41.9,0
helper_functions,3,hotness,29:41.9,0
blip,3,hotness,29:41.9,0
tflite_runtime,3,hotness,29:41.9,0
lofo,3,hotness,29:41.9,0
torch_geometric,3,hotness,29:41.9,0
networkx,3,hotness,29:41.9,0
abc,3,hotness,29:41.9,0
logging,3,hotness,29:41.9,0
clip_interrogator,3,hotness,29:41.9,0
decimal,3,hotness,29:41.9,0
spacy,3,hotness,29:41.9,0
ipywidgets,3,hotness,29:41.9,0
kaggle_secrets,3,hotness,29:41.9,0
holidays,3,hotness,29:41.9,0
textwrap,3,hotness,29:41.9,0
concurrent,2,hotness,29:41.9,0
rapidfuzz,2,hotness,29:41.9,0
segmentation_models_pytorch,2,hotness,29:41.9,0
prophet,2,hotness,29:41.9,0
hdbscan,2,hotness,29:41.9,0
jo_wilder,2,hotness,29:41.9,0
emoji,2,hotness,29:41.9,0
timeit,2,hotness,29:41.9,0
surprise,2,hotness,29:41.9,0
pyarrow,2,hotness,29:41.9,0
tensorflow_decision_forests,2,hotness,29:41.9,0
libpysal,2,hotness,29:41.9,0
termcolor,2,hotness,29:41.9,0
esda,2,hotness,29:41.9,0
factor_analyzer,2,hotness,29:41.9,0
torch_scatter,2,hotness,29:41.9,0
__future__,2,hotness,29:41.9,0
evaluate,2,hotness,29:41.9,0
huggingface_hub,2,hotness,29:41.9,0
fastkaggle,2,hotness,29:41.9,0
fastbook,2,hotness,29:41.9,0
keras_tuner,2,hotness,29:41.9,0
contractions,2,hotness,29:41.9,0
dateutil,2,hotness,29:41.9,0
torchaudio,2,hotness,29:41.9,0
h2o,2,hotness,29:41.9,0
vaderSentiment,2,hotness,29:41.9,0
sqlite3,2,hotness,29:41.9,0
torchsummary,2,hotness,29:41.9,0
soundfile,2,hotness,29:41.9,0
pandas_datareader,2,hotness,29:41.9,0
onnxsim,2,hotness,29:41.9,0
ydata_profiling,2,hotness,29:41.9,0
diffusers,2,hotness,29:41.9,0
torchinfo,2,hotness,29:41.9,0
onnx,2,hotness,29:41.9,0
plotnine,2,hotness,29:41.9,0
luxai_s2,2,hotness,29:41.9,0
torchmetrics,2,hotness,29:41.9,0
onnx_tf,2,hotness,29:41.9,0
pyspark,2,hotness,29:41.9,0
wandb,2,hotness,29:41.9,0
tsflex,2,hotness,29:41.9,0
imageio,2,hotness,29:41.9,0
seglearn,2,hotness,29:41.9,0
lets_plot,2,hotness,29:41.9,0
easyocr,1,hotness,29:41.9,0
ignite,1,hotness,29:41.9,0
renumics,1,hotness,29:41.9,0
zarr,1,hotness,29:41.9,0
imagehash,1,hotness,29:41.9,0
tsfresh,1,hotness,29:41.9,0
skompiler,1,hotness,29:41.9,0
regex,1,hotness,29:41.9,0
birdclef_utils,1,hotness,29:41.9,0
opendatasets,1,hotness,29:41.9,0
bboxregressiongenerator,1,hotness,29:41.9,0
featurewiz,1,hotness,29:41.9,0
kneed,1,hotness,29:41.9,0
pyngrok,1,hotness,29:41.9,0
holoviews,1,hotness,29:41.9,0
gp_bo,1,hotness,29:41.9,0
tensorflow_data_validation,1,hotness,29:41.9,0
progressbar,1,hotness,29:41.9,0
cleanlab,1,hotness,29:41.9,0
getpass,1,hotness,29:41.9,0
pkg_resources,1,hotness,29:41.9,0
polyleven,1,hotness,29:41.9,0
unicodedata,1,hotness,29:41.9,0
klib,1,hotness,29:41.9,0
prettytable,1,hotness,29:41.9,0
hvplot,1,hotness,29:41.9,0
country_converter,1,hotness,29:41.9,0
tabulate,1,hotness,29:41.9,0
numexpr,1,hotness,29:41.9,0
spreg,1,hotness,29:41.9,0
splot,1,hotness,29:41.9,0
giddy,1,hotness,29:41.9,0
cufflinks,1,hotness,29:41.9,0
itables,1,hotness,29:41.9,0
kaggle_environments,1,hotness,29:41.9,0
rfpimp,1,hotness,29:41.9,0
boruta,1,hotness,29:41.9,0
shapely,1,hotness,29:41.9,0
segmentation_models,1,hotness,29:41.9,0
pywaffle,1,hotness,29:41.9,0
regressors,1,hotness,29:41.9,0
rl,1,hotness,29:41.9,0
base64,1,hotness,29:41.9,0
dataclasses,1,hotness,29:41.9,0
miceforest,1,hotness,29:41.9,0
kaggle,1,hotness,29:41.9,0
dask,1,hotness,29:41.9,0
kaggle_datasets,1,hotness,29:41.9,0
efficientnet,1,hotness,29:41.9,0
hashlib,1,hotness,29:41.9,0
sympy,1,hotness,29:41.9,0
unittest,1,hotness,29:41.9,0
haversine,1,hotness,29:41.9,0
einops,1,hotness,29:41.9,0
graphnet,1,hotness,29:41.9,0
pandarallel,1,hotness,29:41.9,0
fitparse,1,hotness,29:41.9,0
ggplot,1,hotness,29:41.9,0
deepchecks,1,hotness,29:41.9,0
tempfile,1,hotness,29:41.9,0
SimpleITK,1,hotness,29:41.9,0
unidecode,1,hotness,29:41.9,0
skopt,1,hotness,29:41.9,0
mediapipe,1,hotness,29:41.9,0
tkinter,1,hotness,29:41.9,0
types,1,hotness,29:41.9,0
builtins,1,hotness,29:41.9,0
model,1,hotness,29:41.9,0
mxnet,1,hotness,29:41.9,0
xarray,1,hotness,29:41.9,0
dataprep,1,hotness,29:41.9,0
pywt,1,hotness,29:41.9,0
emd,1,hotness,29:41.9,0
optbinning,1,hotness,29:41.9,0
cudf,1,hotness,29:41.9,0
pyvis,1,hotness,29:41.9,0
openslide,1,hotness,29:41.9,0
sqlalchemy,1,hotness,29:41.9,0
pymysql,1,hotness,29:41.9,0
warmup_scheduler,1,hotness,29:41.9,0
bokeh,1,hotness,29:41.9,0
cutecharts,1,hotness,29:41.9,0
huggingsound,1,hotness,29:41.9,0
rasterio,1,hotness,29:41.9,0
decode,1,hotness,29:41.9,0
paddleocr,1,hotness,29:41.9,0
phik,1,hotness,29:41.9,0
gymnasium,1,hotness,29:41.9,0
lovely_numpy,1,hotness,29:41.9,0
lingam,1,hotness,29:41.9,0
monai,1,hotness,29:41.9,0
interpret,1,hotness,29:41.9,0
mdptoolbox,1,hotness,29:41.9,0
pystacknet,1,hotness,29:41.9,0
struct,1,hotness,29:41.9,0
pygal_maps_world,1,hotness,29:41.9,0
cairosvg,1,hotness,29:41.9,0
mlens,1,hotness,29:41.9,0
yfinance,1,hotness,29:41.9,0
pytorch_tabnet,1,hotness,29:41.9,0
vit_keras,1,hotness,29:41.9,0
utils,1,hotness,29:41.9,0
branca,1,hotness,29:41.9,0
celluloid,1,hotness,29:41.9,0
bisect,1,hotness,29:41.9,0
faiss,1,hotness,29:41.9,0
rich,1,hotness,29:41.9,0
autogluon,1,hotness,29:41.9,0
visualkeras,1,hotness,29:41.9,0
lux,1,hotness,29:41.9,0
importlib_metadata,1,hotness,29:41.9,0
sb3_contrib,1,hotness,29:41.9,0
stable_baselines3,1,hotness,29:41.9,0
lxml,1,hotness,29:41.9,0
stepwise_regression,1,hotness,29:41.9,0
audioread,1,hotness,29:41.9,0
torchlibrosa,1,hotness,29:41.9,0
colorednoise,1,hotness,29:41.9,0
stable_diffusion,1,hotness,29:41.9,0
labml,1,hotness,29:41.9,0
pyLDAvis,1,hotness,29:41.9,0
tensorflow_probability,1,hotness,29:41.9,0
plotly_express,1,hotness,29:41.9,0
path,1,hotness,29:41.9,0
rawpy,1,hotness,29:41.9,0
tensor_parallel,1,hotness,29:41.9,0
peft,1,hotness,29:41.9,0
accelerate,1,hotness,29:41.9,0
nrclex,1,hotness,29:41.9,0
jsonlines,1,hotness,29:41.9,0
openTSNE,1,hotness,29:41.9,0
fastcore,1,hotness,29:41.9,0
gradio,1,hotness,29:41.9,0
duckdb,1,hotness,29:41.9,0
torch_xla,1,hotness,29:41.9,0
imutils,1,hotness,29:41.9,0
splitfolders,1,hotness,29:41.9,0
super_gradients,1,hotness,29:41.9,0
h5py,1,hotness,29:41.9,0
pandas,985,commentCount,56:00.9,0
numpy,967,commentCount,56:00.9,0
matplotlib,853,commentCount,56:00.9,0
seaborn,674,commentCount,56:00.9,0
sklearn,662,commentCount,56:00.9,0
os,504,commentCount,56:00.9,0
warnings,464,commentCount,56:00.9,0
plotly,302,commentCount,56:00.9,0
scipy,202,commentCount,56:00.9,0
xgboost,182,commentCount,56:00.9,0
tqdm,175,commentCount,56:00.9,0
IPython,151,commentCount,56:00.9,0
tensorflow,148,commentCount,56:00.9,0
datetime,135,commentCount,56:00.9,0
random,133,commentCount,56:00.9,0
lightgbm,125,commentCount,56:00.9,0
time,120,commentCount,56:00.9,0
gc,112,commentCount,56:00.9,0
re,108,commentCount,56:00.9,0
keras,107,commentCount,56:00.9,0
math,106,commentCount,56:00.9,0
cv2,98,commentCount,56:00.9,0
PIL,93,commentCount,56:00.9,0
torch,89,commentCount,56:00.9,0
collections,86,commentCount,56:00.9,0
wordcloud,79,commentCount,56:00.9,0
missingno,74,commentCount,56:00.9,0
sys,69,commentCount,56:00.9,0
glob,60,commentCount,56:00.9,0
json,58,commentCount,56:00.9,0
nltk,55,commentCount,56:00.9,0
catboost,54,commentCount,56:00.9,0
statsmodels,51,commentCount,56:00.9,0
itertools,47,commentCount,56:00.9,0
string,41,commentCount,56:00.9,0
subprocess,34,commentCount,56:00.9,0
pathlib,34,commentCount,56:00.9,0
imblearn,31,commentCount,56:00.9,0
transformers,29,commentCount,56:00.9,0
requests,28,commentCount,56:00.9,0
skimage,27,commentCount,56:00.9,0
shutil,27,commentCount,56:00.9,0
pickle,27,commentCount,56:00.9,0
folium,26,commentCount,56:00.9,0
pylab,24,commentCount,56:00.9,0
mpl_toolkits,24,commentCount,56:00.9,0
albumentations,23,commentCount,56:00.9,0
torchvision,23,commentCount,56:00.9,0
joblib,23,commentCount,56:00.9,0
pandas_profiling,22,commentCount,56:00.9,0
eli5,21,commentCount,56:00.9,0
mlxtend,21,commentCount,56:00.9,0
io,21,commentCount,56:00.9,0
copy,20,commentCount,56:00.9,0
logging,20,commentCount,56:00.9,0
efficientnet,20,commentCount,56:00.9,0
functools,20,commentCount,56:00.9,0
kaggle_datasets,20,commentCount,56:00.9,0
squarify,19,commentCount,56:00.9,0
